"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.19350238409735e-181,-591.585023135493,0.163,0.397,8.81441224629002e-177,"Dysfunctional.CD8","LYZ"
7.98946146709336e-181,-121.187198444156,0.025,0.2,1.35597140019509e-176,"Dysfunctional.CD8","GPNMB"
3.68623669358924e-180,-9.88663578038335,0.063,0.265,6.25628091635967e-176,"Dysfunctional.CD8","RRBP1"
5.3386695224386e-180,-13.8506003519491,0.091,0.307,9.06078991348279e-176,"Dysfunctional.CD8","ZFAND5"
2.04262001316758e-179,-86.2457680849301,0.079,0.286,3.46673468634802e-175,"Dysfunctional.CD8","ID3"
1.18858623575371e-177,-171.478172326387,0.061,0.263,2.01726855932119e-173,"Dysfunctional.CD8","CTSL"
7.8335327999994e-177,-1.34045416052666,0.346,0.134,1.3295071868159e-172,"Dysfunctional.CD8","CLEC2D"
1.96678825582471e-176,-58.1246092886025,0.031,0.207,3.3380330277857e-172,"Dysfunctional.CD8","VCAN"
4.77411881475822e-175,-8.32413487176953,0.155,0.381,8.10263445240764e-171,"Dysfunctional.CD8","HSBP1"
5.49236011725083e-175,-288.603101667002,0.15,0.378,9.3216335909981e-171,"Dysfunctional.CD8","MT1E"
1.551735319552e-174,0.285342228280003,0.279,0.093,2.63360518434365e-170,"Dysfunctional.CD8","LIME1"
1.65799778250633e-173,-8.33524958296834,0.037,0.217,2.81395383646974e-169,"Dysfunctional.CD8","ETS2"
1.81724994232098e-173,-28.4382432629206,0.04,0.221,3.08423660210716e-169,"Dysfunctional.CD8","SERPINH1"
1.8311975940983e-173,-24.1591555530637,0.904,0.697,3.10790855670364e-169,"Dysfunctional.CD8","BTG1"
2.45941044688557e-173,-32.9784846448729,0.05,0.243,4.17411141045419e-169,"Dysfunctional.CD8","EGR1"
1.01399987872351e-172,-34.6938908334151,0.182,0.408,1.72096059416954e-168,"Dysfunctional.CD8","CEBPB"
3.17071083633833e-172,-99.5876120264005,0.158,0.384,5.38133043143341e-168,"Dysfunctional.CD8","CD9"
3.36739367695439e-172,-2.80563127983162,0.087,0.293,5.71514054852699e-168,"Dysfunctional.CD8","LEPROT"
2.61953185666458e-171,-701.079000563355,0.245,0.482,4.44586946713112e-167,"Dysfunctional.CD8","MGP"
4.5297596062735e-171,-25.303505860298,0.19,0.416,7.68790800376738e-167,"Dysfunctional.CD8","TPM4"
1.23200481450484e-170,-46.4254628134913,0.951,0.79,2.09095857117762e-166,"Dysfunctional.CD8","HLA-C"
