"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LGALS1.1",3.98803844021037e-25,-1.01881121131884,0.64,0.88,6.76849884072504e-21,"0","LGALS1"
"FCGRT",7.39940150243381e-25,-0.608963727236224,0.233,0.539,1.25582642299307e-20,"0","FCGRT"
"PFDN2",7.47245830149848e-25,0.328836797936981,0.267,0.417,1.26822562293032e-20,"0","PFDN2"
"PYCARD",8.09977689796941e-25,-0.383885203489219,0.22,0.49,1.37469413512337e-20,"0","PYCARD"
"UQCR11",1.04696499618665e-24,-0.591383461148181,0.387,0.702,1.77690899152799e-20,"0","UQCR11"
"PKM.1",1.20404148806435e-24,-0.291755274968689,0.32,0.589,2.04349921354282e-20,"0","PKM"
"EIF6",1.21373636635974e-24,-0.545647056287342,0.073,0.316,2.05995336098574e-20,"0","EIF6"
"MAB21L3",1.61164776030673e-24,1.52834590721803,0.257,0.137,2.73528857879258e-20,"0","MAB21L3"
"ATOX1.1",1.7197194029706e-24,-0.670476682653782,0.157,0.442,2.91870777072171e-20,"0","ATOX1"
"EIF4A2.1",1.81188798767317e-24,0.498606457884158,0.37,0.483,3.0751362926789e-20,"0","EIF4A2"
"RBX1",2.00952330935337e-24,-0.258685209580794,0.313,0.579,3.41056296063455e-20,"0","RBX1"
"PPP1CA",2.45815157670768e-24,-0.285234000105774,0.16,0.4,4.17197485598827e-20,"0","PPP1CA"
"SF3B5",3.51582455496914e-24,-0.362261433920708,0.147,0.391,5.96705743469362e-20,"0","SF3B5"
"SERP1",3.96755830347633e-24,-0.444521489591891,0.313,0.61,6.73373995266002e-20,"0","SERP1"
"ACTR2",4.19284499013556e-24,0.488286902295795,0.413,0.513,7.11609651725808e-20,"0","ACTR2"
"YBX1",4.24307402268228e-24,-0.504306411832655,0.507,0.8,7.20134523129636e-20,"0","YBX1"
"BST2",5.17637933010408e-24,-0.592352029647138,0.18,0.461,8.78535099905265e-20,"0","BST2"
"GSTO1.1",6.76162783729858e-24,-0.581503287727812,0.283,0.588,1.14758347654631e-19,"0","GSTO1"
"ANXA1.1",7.49087533994668e-24,-0.385809734582014,0.343,0.625,1.27135136269575e-19,"0","ANXA1"
"NDUFB10",7.71053927813855e-24,-0.483807004096432,0.177,0.446,1.30863272628567e-19,"0","NDUFB10"
"GRN",8.44186116767779e-24,-0.567568223756146,0.423,0.728,1.43275267737828e-19,"0","GRN"
"ARL6IP1.1",8.44616890836541e-24,0.447598665495516,0.357,0.494,1.43348378712778e-19,"0","ARL6IP1"
"SSR2",8.64623464297803e-24,-0.344648186726533,0.187,0.445,1.46743894360623e-19,"0","SSR2"
"PGK1",9.84655985940158e-24,-0.397156843841401,0.19,0.454,1.67115813933764e-19,"0","PGK1"
"PFN1",1.0147562212265e-23,-0.724492524011154,0.623,0.876,1.72224425866561e-19,"0","PFN1"
"SRGN",1.13071550288061e-23,-0.736288115609346,0.67,0.902,1.91905035148898e-19,"0","SRGN"
"CANX.1",1.22989908591062e-23,0.398046113909888,0.297,0.435,2.08738472860751e-19,"0","CANX"
"NDUFA2",1.39065446466674e-23,-0.250345897427841,0.22,0.47,2.3602187574324e-19,"0","NDUFA2"
