"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UBE2T",3.08583935923343e-245,0.412553785602526,0.267,0.016,5.04905035957773e-241,"7","UBE2T"
"SRSF3",8.56154970953889e-244,0.919498292797641,0.666,0.295,1.40084076347475e-239,"7","SRSF3"
"COX8A",2.03736318668237e-239,0.897242839047766,0.74,0.38,3.3335336460497e-235,"7","COX8A"
"PKM",1.35366246077368e-235,1.24400996169386,0.665,0.286,2.2148625183179e-231,"7","PKM"
"DBI",3.51307723218353e-228,0.888697751771895,0.702,0.32,5.74809696729869e-224,"7","DBI"
"MCM7",8.28144513764488e-228,0.55326493148213,0.31,0.035,1.35501005342146e-223,"7","MCM7"
"DHFR",1.86031551851874e-227,0.424736729849883,0.279,0.021,3.04384825140036e-223,"7","DHFR"
"COX5A.1",1.35219031834817e-222,0.880075783109866,0.638,0.25,2.21245379888127e-218,"7","COX5A"
"MRPL51",3.80468177658085e-222,0.805989906100316,0.562,0.193,6.22522032284158e-218,"7","MRPL51"
"SNRPB",5.14169351646801e-221,0.861704960953421,0.643,0.275,8.41283893164495e-217,"7","SNRPB"
"CHCHD2",2.79799112697999e-219,1.06866317617656,0.838,0.554,4.57807308196467e-215,"7","CHCHD2"
"ATP5MC3",2.52818986752402e-216,0.853209871892098,0.671,0.319,4.1366242612428e-212,"7","ATP5MC3"
"PSMA4",3.99680298423999e-216,0.806945220135884,0.571,0.224,6.53956904281347e-212,"7","PSMA4"
"UBE2S",1.5169971868999e-214,0.503149085516119,0.272,0.026,2.48211079720562e-210,"7","UBE2S"
"DDX39A",5.62698635175543e-213,0.613228683895065,0.434,0.105,9.20687506874224e-209,"7","DDX39A"
"CBX3",2.0294233813307e-211,0.699453754121808,0.556,0.173,3.32054253653328e-207,"7","CBX3"
"HNRNPA3",1.59558352216703e-209,0.807382187811747,0.676,0.324,2.61069375896969e-205,"7","HNRNPA3"
"TUBA1C",5.09473151263688e-209,0.865248146641304,0.339,0.049,8.33599970097646e-205,"7","TUBA1C"
"ENO1",5.06669317335042e-207,1.47717154372658,0.698,0.391,8.29012337023597e-203,"7","ENO1"
"FEN1",1.93648808155415e-206,0.374662881418103,0.238,0.015,3.16848179903891e-202,"7","FEN1"
